ID,Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Living_With,Customer_Age,Total_Spending,Total_Purchases,Total_Accepted_Campaigns,Acceptance_Rate,Channel_Preference,Average_Purchase_Amount,Campaign_Engagement,Num_Children,Family_Size
5524,1957,Graduate,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,Alone,55,1617,22,0,0.0,Catalog,73.5,0.0,0,1
2174,1954,Graduate,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,Alone,60,27,4,0,0.0,Store,6.75,0.0,2,3
4141,1965,Graduate,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,Partner,48,776,20,0,0.0,Store,38.8,0.0,0,2
6182,1984,Graduate,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,Partner,30,53,6,0,0.0,Store,8.833333333333334,0.0,1,3
5324,1981,Postgraduate,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,Partner,33,422,14,0,0.0,Store,30.142857142857142,0.0,1,3
7446,1967,Postgraduate,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,Partner,46,716,20,0,0.0,Store,35.8,0.0,1,3
965,1971,Graduate,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,Alone,41,590,17,0,0.0,Web,34.705882352941174,0.0,1,2
6177,1985,Postgraduate,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,Partner,28,169,8,0,0.0,Web,21.125,0.0,1,3
4855,1974,Postgraduate,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,Partner,39,46,5,0,0.0,Web,9.2,0.0,1,3
387,1976,Undergraduate,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,Partner,36,61,5,0,0.0,Store,12.2,0.0,0,2
2125,1959,Graduate,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,Alone,54,1102,15,0,0.0,Store,73.46666666666667,0.0,0,1
8180,1952,Postgraduate,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,Alone,61,310,12,0,0.0,Web,25.833333333333332,0.0,2,3
2569,1987,Graduate,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,Partner,25,46,4,0,0.0,Store,11.5,0.0,0,2
2114,1946,Postgraduate,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,Alone,66,1315,25,2,0.4,Store,52.6,0.5,0,1
9736,1980,Graduate,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,Partner,32,96,6,0,0.0,Web,16.0,0.0,2,4
4939,1946,Graduate,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,Partner,66,317,11,0,0.0,Store,28.818181818181817,0.0,0,2
6565,1949,Postgraduate,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,Partner,64,1782,24,1,0.2,Web,74.25,0.2,1,3
2278,1985,Undergraduate,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,Alone,27,133,6,0,0.0,Store,22.166666666666668,0.0,1,2
9360,1982,Graduate,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,Partner,30,316,11,0,0.0,Store,28.727272727272727,0.0,0,2
1993,1949,Postgraduate,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,Partner,63,972,14,1,0.2,Store,69.42857142857143,0.4,1,3
4047,1954,Postgraduate,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,Partner,60,544,17,0,0.0,Store,32.0,0.0,1,3
1409,1951,Graduate,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,Partner,62,444,13,0,0.0,Web,34.15384615384615,0.0,1,3
7892,1969,Graduate,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,Alone,44,75,6,0,0.0,Store,12.5,0.0,0,1
